strategy,var_order,value_selection,value_order,objective_value,cpu_time_ms,wall_time_s,resumptions,entailments,prunings,backtracks,constraints
"[ffc,median,down]",ffc,median,down,2261,17190,17.295,22759579,3597168,24272728,14757163,2661728
"[ffc,middle,up]",ffc,middle,up,2261,17100,17.212,22759579,3597168,24272728,14757163,2661728
"[ffc,middle,down]",ffc,middle,down,2261,17149,17.253,22759579,3597168,24272728,14757163,2661728
"[ffc,value(selRandomValue)]",ffc,value(selRandomValue),,2261,17050,17.166,22759579,3597168,24272728,14757163,2661728
"[max_regret,step,up]",max_regret,step,up,2261,17076,17.210,22759579,3597168,24272728,14757163,2661728
"[max_regret,step,down]",max_regret,step,down,2261,16986,17.104,22759579,3597168,24272728,14757163,2661728
"[max_regret,enum,up]",max_regret,enum,up,2261,16993,17.075,22759579,3597168,24272728,14757163,2661728
"[max_regret,enum,down]",max_regret,enum,down,2261,17071,17.147,22759579,3597168,24272728,14757163,2661728
"[max_regret,bisect,up]",max_regret,bisect,up,2261,16993,17.082,22759579,3597168,24272728,14757163,2661728
"[max_regret,bisect,down]",max_regret,bisect,down,2261,16992,17.082,22759579,3597168,24272728,14757163,2661728
"[max_regret,median,up]",max_regret,median,up,2261,17042,17.137,22759579,3597168,24272728,14757163,2661728
"[max_regret,median,down]",max_regret,median,down,2261,17095,17.216,22759579,3597168,24272728,14757163,2661728
"[max_regret,middle,up]",max_regret,middle,up,2261,17116,17.210,22759579,3597168,24272728,14757163,2661728
"[max_regret,middle,down]",max_regret,middle,down,2261,17163,36.484,22759579,3597168,24272728,14757163,2661728
"[max_regret,value(selRandomValue)]",max_regret,value(selRandomValue),,2261,17137,17.250,22759579,3597168,24272728,14757163,2661728
"[impact,step,up]",impact,step,up,2261,17131,17.275,22759579,3597168,24272728,14757163,2661728
"[impact,step,down]",impact,step,down,2261,17108,17.242,22759579,3597168,24272728,14757163,2661728
"[impact,enum,up]",impact,enum,up,2261,17159,17.299,22759579,3597168,24272728,14757163,2661728
"[impact,enum,down]",impact,enum,down,2261,17163,17.252,22759579,3597168,24272728,14757163,2661728
"[impact,bisect,up]",impact,bisect,up,2261,17046,17.140,22759579,3597168,24272728,14757163,2661728
"[impact,bisect,down]",impact,bisect,down,2261,17066,17.191,22759579,3597168,24272728,14757163,2661728
"[impact,median,up]",impact,median,up,2261,17096,17.187,22759579,3597168,24272728,14757163,2661728
"[impact,median,down]",impact,median,down,2261,17056,17.153,22759579,3597168,24272728,14757163,2661728
"[impact,middle,up]",impact,middle,up,2261,17077,17.191,22759579,3597168,24272728,14757163,2661728
"[impact,middle,down]",impact,middle,down,2261,17106,17.191,22759579,3597168,24272728,14757163,2661728
"[impact,value(selRandomValue)]",impact,value(selRandomValue),,2261,16995,17.063,22759579,3597168,24272728,14757163,2661728
"[dom_w_deg,step,up]",dom_w_deg,step,up,2261,16981,17.046,22759579,3597168,24272728,14757163,2661728
"[dom_w_deg,step,down]",dom_w_deg,step,down,2261,16995,17.077,22759579,3597168,24272728,14757163,2661728
"[dom_w_deg,enum,up]",dom_w_deg,enum,up,2261,17114,17.209,22759579,3597168,24272728,14757163,2661728
"[dom_w_deg,enum,down]",dom_w_deg,enum,down,2261,17035,17.115,22759579,3597168,24272728,14757163,2661728
"[dom_w_deg,bisect,up]",dom_w_deg,bisect,up,2261,17106,17.232,22759579,3597168,24272728,14757163,2661728
"[dom_w_deg,bisect,down]",dom_w_deg,bisect,down,2261,17131,17.239,22759579,3597168,24272728,14757163,2661728
"[dom_w_deg,median,up]",dom_w_deg,median,up,2261,17249,17.342,22759579,3597168,24272728,14757163,2661728
"[dom_w_deg,median,down]",dom_w_deg,median,down,2261,17069,17.188,22759579,3597168,24272728,14757163,2661728
"[dom_w_deg,middle,up]",dom_w_deg,middle,up,2261,17043,17.124,22759579,3597168,24272728,14757163,2661728
"[dom_w_deg,middle,down]",dom_w_deg,middle,down,2261,17151,17.237,22759579,3597168,24272728,14757163,2661728
"[dom_w_deg,value(selRandomValue)]",dom_w_deg,value(selRandomValue),,2261,16989,17.071,22759579,3597168,24272728,14757163,2661728
